U+2D01A	𭀚	yvhu
U+2D01B	𭀛	nihu
U+2D01C	𭀜	vvhu,xvvhu
U+2D01D	𭀝	myu
U+2D01E	𭀞	muni
U+2D01F	𭀟	mlou
U+2D020	𭀠	oahu,xoahu
U+2D021	𭀡	lmsp
U+2D022	𭀢	krhu
U+2D023	𭀣	olai
U+2D024	𭀤	tkpc
U+2D025	𭀥	oui,xoui
U+2D026	𭀦	fuhk
U+2D027	𭀧	cumj,xcumj
U+2D028	𭀨	fuii
U+2D029	𭀩	mubhg
U+2D02A	𭀪	muypn,muypu
U+2D02B	𭀫	musmv
U+2D02C	𭀬	fufmu
U+2D02D	𭀭	nomrp
U+2D02E	𭀮	fumgt
U+2D02F	𭀯	hulln
U+2D030	𭀰	nunau
U+2D031	𭀱	ouolu
U+2D032	𭀲	hujrr
U+2D033	𭀳	huwjo
U+2D034	𭀴	fuyrn,fuyru
U+2D035	𭀵	huhsm,huism
U+2D036	𭀶	fuynb
U+2D037	𭀷	huwjc
U+2D038	𭀸	huwii
U+2D039	𭀹	hubvk
U+2D03A	𭀺	hutgr,huttr
U+2D03B	𭀻	obn
U+2D03C	𭀼	ogi,xogi
U+2D03D	𭀽	mro
U+2D03E	𭀾	rlo,xrlo
U+2D03F	𭀿	ovnd
U+2D040	𭁀	oso,xxoso
U+2D041	𭁁	omond
U+2D042	𭁂	omnci
U+2D043	𭁃	omncd
U+2D044	𭁄	tvj,xtvj
U+2D045	𭁅	ciy
U+2D046	𭁆	hgc,xxhgc
U+2D047	𭁇	lqmc,xlqmc
U+2D048	𭁈	lqmc,xxlqm
U+2D049	𭁉	lmmc
U+2D04A	𭁊	ioc,moc,xioc,xxmoc
U+2D04B	𭁋	cshb
U+2D04C	𭁌	fqyhs
U+2D04D	𭁍	ciklb
U+2D04E	𭁎	cibm
U+2D04F	𭁏	cwhj
U+2D050	𭁐	omxc
U+2D051	𭁑	fqem
U+2D052	𭁒	bnc
U+2D053	𭁓	ciijb
U+2D054	𭁔	twlc,xtwlc
U+2D055	𭁕	olyc,xolyc
U+2D056	𭁖	ycvne
U+2D057	𭁗	cmwk,twlk,xcmwk
U+2D058	𭁘	kiyc
U+2D059	𭁙	fqyrn
U+2D05A	𭁚	tclpb
U+2D05B	𭁛	ycyhj
U+2D05C	𭁜	civdl
U+2D05D	𭁝	sqtc
U+2D05E	𭁞	tctav
U+2D05F	𭁟	bml,xbml
U+2D060	𭁠	bq,xbq
U+2D061	𭁡	mbmm
U+2D062	𭁢	jbmm
U+2D063	𭁣	mfbq,xmfbq
U+2D064	𭁤	kbkb
U+2D065	𭁥	mbe
U+2D066	𭁦	bhjr,xbhjr
U+2D067	𭁧	obfh,xobfh
U+2D068	𭁨	bfd
U+2D069	𭁩	yibmm
U+2D06A	𭁪	mmiq
U+2D06B	𭁫	ptbmm
U+2D06C	𭁬	kbkb,xkbkb
U+2D06D	𭁭	fbe,xxfbe
U+2D06E	𭁮	vdob
U+2D06F	𭁯	ptbq
U+2D070	𭁰	brnin
U+2D071	𭁱	bgfg
U+2D072	𭁲	qoblo
U+2D073	𭁳	bru
U+2D074	𭁴	bmam,xbmam
U+2D075	𭁵	bmuk
U+2D076	𭁶	bmau
U+2D077	𭁷	bbuc
U+2D078	𭁸	byaj,xbyaj
U+2D079	𭁹	bcgg
U+2D07A	𭁺	bifi,bmfi
U+2D07B	𭁻	bsw
U+2D07C	𭁼	bamo,xxbam
U+2D07D	𭁽	blsf
U+2D07E	𭁾	bose
U+2D07F	𭁿	bife,bmfe,xxbmf
U+2D080	𭂀	bwlv,xbwlv
U+2D081	𭂁	blaf
U+2D082	𭂂	bcwlt
U+2D083	𭂃	bddf
U+2D084	𭂄	bcvio
U+2D085	𭂅	bqjp,xbqjp
U+2D086	𭂆	immvs
U+2D087	𭂇	imks
U+2D088	𭂈	imu,xximu
U+2D089	𭂉	impkk
U+2D08A	𭂊	imsp
U+2D08B	𭂋	imgr
U+2D08C	𭂌	imlmi,ximlm
U+2D08D	𭂍	imymp
U+2D08E	𭂎	imtq
U+2D08F	𭂏	imoyt
U+2D090	𭂐	imphr
U+2D091	𭂑	imyfe
U+2D092	𭂒	imhna
U+2D093	𭂓	imyrd
U+2D094	𭂔	imysy
U+2D095	𭂕	imnme,imvne
U+2D096	𭂖	imhni,ximhn
U+2D097	𭂗	imysd
U+2D098	𭂘	imnob
U+2D099	𭂙	imoge
U+2D09A	𭂚	imcmt,imtct
U+2D09B	𭂛	imhrf
U+2D09C	𭂜	imdoe
U+2D09D	𭂝	imfbb
U+2D09E	𭂞	imycb
U+2D09F	𭂟	imlmc
U+2D0A0	𭂠	imana
U+2D0A1	𭂡	imcwa
U+2D0A2	𭂢	imirp
U+2D0A3	𭂣	imani
U+2D0A4	𭂤	imoim,imolm
U+2D0A5	𭂥	imtag
U+2D0A6	𭂦	imbmp
U+2D0A7	𭂧	immbi,ximmb
U+2D0A8	𭂨	imlib
U+2D0A9	𭂩	hnj
U+2D0AA	𭂪	hvhn
U+2D0AB	𭂫	hni
U+2D0AC	𭂬	hny
U+2D0AD	𭂭	cshn,xcshn
U+2D0AE	𭂮	hnshh,hnshi,hnsk
U+2D0AF	𭂯	ohnj
U+2D0B0	𭂰	lkhn
U+2D0B1	𭂱	hnkb
U+2D0B2	𭂲	unhn,uuhn,xuuhn
U+2D0B3	𭂳	myhn,xmyhn
U+2D0B4	𭂴	hnrhr,hnrr
U+2D0B5	𭂵	hnhnu
U+2D0B6	𭂶	nihn
U+2D0B7	𭂷	buhn,xbuhn
U+2D0B8	𭂸	yhhn
U+2D0B9	𭂹	hnvvu
U+2D0BA	𭂺	hnhgf
U+2D0BB	𭂻	uhju,xuhju
U+2D0BC	𭂼	uvvv
U+2D0BD	𭂽	uukd
U+2D0BE	𭂾	macu
U+2D0BF	𭂿	ukmcp
U+2D0C0	𭃀	uumcp
U+2D0C1	𭃁	uummp
U+2D0C2	𭃂	sq
U+2D0C3	𭃃	shp
U+2D0C4	𭃄	jsh
U+2D0C5	𭃅	siln,skln,soln,xskln,xsoln,xxsil
U+2D0C6	𭃆	eiln
U+2D0C7	𭃇	shei
U+2D0C8	𭃈	shcms
U+2D0C9	𭃉	shyk
U+2D0CA	𭃊	smsmm
U+2D0CB	𭃋	shau,xshau
U+2D0CC	𭃌	qmsh
U+2D0CD	𭃍	qshh,xqshh
U+2D0CE	𭃎	sjtt
U+2D0CF	𭃏	xyyln,yyln
U+2D0D0	𭃐	yysh
U+2D0D1	𭃑	shymy,xshym
U+2D0D2	𭃒	rwln,xxxrw
U+2D0D3	𭃓	cshn
U+2D0D4	𭃔	jushi,jusk,juso
U+2D0D5	𭃕	shgr,xshgr
U+2D0D6	𭃖	mnsh
U+2D0D7	𭃗	twln
U+2D0D8	𭃘	shobo
U+2D0D9	𭃙	shhbu
U+2D0DA	𭃚	hmshi,hmsk,hmso,xhmso
U+2D0DB	𭃛	shkd
U+2D0DC	𭃜	oksh
U+2D0DD	𭃝	shoi
U+2D0DE	𭃞	nrln,xnrln
U+2D0DF	𭃟	orsh
U+2D0E0	𭃠	shyck
U+2D0E1	𭃡	ifph,xifph
U+2D0E2	𭃢	shyk,xshyk
U+2D0E3	𭃣	crln
U+2D0E4	𭃤	bhln,xbhln
U+2D0E5	𭃥	hbln
U+2D0E6	𭃦	shcnh,xshcn
U+2D0E7	𭃧	inln
U+2D0E8	𭃨	lph,xlph
U+2D0E9	𭃩	ddsh
U+2D0EA	𭃪	tsln
U+2D0EB	𭃫	shapp
U+2D0EC	𭃬	rtln
U+2D0ED	𭃭	hbln
U+2D0EE	𭃮	shoip,xshoi
U+2D0EF	𭃯	odln
U+2D0F0	𭃰	jpln
U+2D0F1	𭃱	tjki,tjkk,tjko,xtjki,xtjkk
U+2D0F2	𭃲	ecln
U+2D0F3	𭃳	iiln,xxiil
U+2D0F4	𭃴	mbln
U+2D0F5	𭃵	trln
U+2D0F6	𭃶	ahln,xahln
U+2D0F7	𭃷	siymm,skymm,soymm,xsiym
U+2D0F8	𭃸	jgln
U+2D0F9	𭃹	ehcsh
U+2D0FA	𭃺	jrln,xjrln
U+2D0FB	𭃻	tlln,xtlln
U+2D0FC	𭃼	shkrd
U+2D0FD	𭃽	shahu,xxsha
U+2D0FE	𭃾	tnln
U+2D0FF	𭃿	jjcsh,xjjcs
U+2D100	𭄀	tmshi,tmsk,tmso
U+2D101	𭄁	hwln
U+2D102	𭄂	hosh
U+2D103	𭄃	chune
U+2D104	𭄄	vnsh
U+2D105	𭄅	edln,xxedl
U+2D106	𭄆	msln
U+2D107	𭄇	jlsh
U+2D108	𭄈	tgln,xxtgl
U+2D109	𭄉	ioln,xioln
U+2D10A	𭄊	ibln,xxibl
U+2D10B	𭄋	juln
U+2D10C	𭄌	jush
U+2D10D	𭄍	cksh,xcksh
U+2D10E	𭄎	shsja
U+2D10F	𭄏	mkln,xmkln
U+2D110	𭄐	hkmsh
U+2D111	𭄑	jnln,xjnln
U+2D112	𭄒	hgln
U+2D113	𭄓	mrahn
U+2D114	𭄔	hfln
U+2D115	𭄕	hbln
U+2D116	𭄖	jhln
U+2D117	𭄗	jcln,xjcln
U+2D118	𭄘	mcln,xxmcl
U+2D119	𭄙	hbln
U+2D11A	𭄚	tjln
U+2D11B	𭄛	holn
U+2D11C	𭄜	obln,xobln
U+2D11D	𭄝	shtgo
U+2D11E	𭄞	oks,xoks
U+2D11F	𭄟	mks,xxmks
U+2D120	𭄠	hhks,xxhhk
U+2D121	𭄡	jlks
U+2D122	𭄢	krhi
U+2D123	𭄣	kiks,kkks
U+2D124	𭄤	hoksn
U+2D125	𭄥	vrks
U+2D126	𭄦	gsks,qsks
U+2D127	𭄧	jvks,xjvks
U+2D128	𭄨	hhks
U+2D129	𭄩	hays
U+2D12A	𭄪	ijks
U+2D12B	𭄫	cwks,xcwks
U+2D12C	𭄬	gjks,xgjks
U+2D12D	𭄭	tcks,xtcks
U+2D12E	𭄮	memks
U+2D12F	𭄯	mkks,xmkks
U+2D130	𭄰	wdks
U+2D131	𭄱	ksrho
U+2D132	𭄲	jmks,xjmks
U+2D133	𭄳	tmks
U+2D134	𭄴	xygks,ygks
U+2D135	𭄵	dqks
U+2D136	𭄶	nkks
U+2D137	𭄷	kscmt,kstct
U+2D138	𭄸	xyvks,yvks
U+2D139	𭄹	vswks
U+2D13A	𭄺	dkks
U+2D13B	𭄻	krqyt
U+2D13C	𭄼	okks,xokks
U+2D13D	𭄽	ckks
U+2D13E	𭄾	ykks
U+2D13F	𭄿	tgks
U+2D140	𭅀	miks,xxmik
U+2D141	𭅁	lcks,xlcks
U+2D142	𭅂	wcks
U+2D143	𭅃	yoks
U+2D144	𭅄	pe,xpe
U+2D145	𭅅	pve,xpve
U+2D146	𭅆	ptt,xptt
U+2D147	𭅇	pyr,xpyr
U+2D148	𭅈	pylb,xpylb
U+2D149	𭅉	phhml
U+2D14A	𭅊	ptyv,xxpty
U+2D14B	𭅋	pmrt,xpmrt
U+2D14C	𭅌	tcpi,tcpm,xtcpi
U+2D14D	𭅍	mhpkk
U+2D14E	𭅎	jjpru,xjjpr
U+2D14F	𭅏	qqpru
U+2D150	𭅐	thp,xthp
U+2D151	𭅑	fqp,xxfqp
U+2D152	𭅒	tjkp,xtjkp
U+2D153	𭅓	jjp,xjjp
U+2D154	𭅔	sp,xsp
U+2D155	𭅕	smd,xsmd
U+2D156	𭅖	smj
U+2D157	𭅗	sw,xsw
U+2D158	𭅘	syg
U+2D159	𭅙	smig,xsmig
U+2D15A	𭅚	snin,xsnin
U+2D15B	𭅛	seoi,seol
U+2D15C	𭅜	stmo
U+2D15D	𭅝	safv
U+2D15E	𭅞	smjk,snjk
U+2D15F	𭅟	tvhlu
U+2D160	𭅠	jhn,xjhn
U+2D161	𭅡	hwhj,xhwhj
U+2D162	𭅢	fql
U+2D163	𭅣	pjau
U+2D164	𭅤	hjpd
U+2D165	𭅥	jbno
U+2D166	𭅦	ojojj
U+2D167	𭅧	tvht
U+2D168	𭅨	jmoog,jvoog
U+2D169	𭅩	vij,xxvij
U+2D16A	𭅪	jjkcs
U+2D16B	𭅫	vxrr
U+2D16C	𭅬	jmjbf,jvjbf
U+2D16D	𭅭	yjmbb
U+2D16E	𭅮	gtdej
U+2D16F	𭅯	yah
U+2D170	𭅰	ywh
U+2D171	𭅱	yykd
U+2D172	𭅲	sui
U+2D173	𭅳	isy
U+2D174	𭅴	ysy
U+2D175	𭅵	mnsl
U+2D176	𭅶	ggsl
U+2D177	𭅷	jpsl
U+2D178	𭅸	ajsl
U+2D179	𭅹	nnsu
U+2D17A	𭅺	iisl
U+2D17B	𭅻	numsu
U+2D17C	𭅼	vhail,vhhpl,vhhsl,xxvha,xxvhh
U+2D17D	𭅽	nnail,nnhpl,nnhsl
U+2D17E	𭅾	ybsl
U+2D17F	𭅿	hfpsl
U+2D180	𭆀	mon,xmon
U+2D181	𭆁	mrn,xxmrn
U+2D182	𭆂	man,xman
U+2D183	𭆃	mrvp
U+2D184	𭆄	mjsn
U+2D185	𭆅	mhau
U+2D186	𭆆	mkm,xmkm
U+2D187	𭆇	mqjo
U+2D188	𭆈	movf
U+2D189	𭆉	dsm
U+2D18A	𭆊	msjl
U+2D18B	𭆋	mtkr
U+2D18C	𭆌	mqik,mqkk,mqok
U+2D18D	𭆍	mtaj
U+2D18E	𭆎	mbci
U+2D18F	𭆏	mtqo
U+2D190	𭆐	mmje,mnje,xmmje,xmnje
U+2D191	𭆑	mkmms
U+2D192	𭆒	twmrv
U+2D193	𭆓	jkmms
U+2D194	𭆔	mahr,xmahr
U+2D195	𭆕	mabk,xmabk
U+2D196	𭆖	mfmc
U+2D197	𭆗	slmad
U+2D198	𭆘	mofc,xmofc
U+2D199	𭆙	ike
U+2D19A	𭆚	imt,ximt
U+2D19B	𭆛	ppgi
U+2D19C	𭆜	koi
U+2D19D	𭆝	inii
U+2D19E	𭆞	ike
U+2D19F	𭆟	ddi,xxddi
U+2D1A0	𭆠	kiki
U+2D1A1	𭆡	ihwj,xihwj
U+2D1A2	𭆢	omti
U+2D1A3	𭆣	ioll,xioll
U+2D1A4	𭆤	iiie
U+2D1A5	𭆥	ne
U+2D1A6	𭆦	eym
U+2D1A7	𭆧	ie,xxxie
U+2D1A8	𭆨	eylm,xeylm
U+2D1A9	𭆩	eklg
U+2D1AA	𭆪	lle
U+2D1AB	𭆫	ueke
U+2D1AC	𭆬	lsse
U+2D1AD	𭆭	eilp
U+2D1AE	𭆮	core,xxcor
