U+36B5	㚵	vhem,vhey
U+36B6	㚶	vrlr
U+36B7	㚷	vof
U+36B8	㚸	vsmr
U+36B9	㚹	vhhl
U+36BA	㚺	vnsd,xvnsd
U+36BB	㚻	wv,xwv
U+36BC	㚼	vw
U+36BD	㚽	msv
U+36BE	㚾	vrhu
U+36BF	㚿	vpru,vpsu
U+36C0	㛀	vnsm
U+36C1	㛁	vmfj
U+36C2	㛂	vhau
U+36C3	㛃	qhv
U+36C4	㛄	vyhv
U+36C5	㛅	vsj
U+36C6	㛆	vnsd,xxvns
U+36C7	㛇	vig,xvig
U+36C8	㛈	vjks
U+36C9	㛉	vmcw,vmlw,xvmlw
U+36CA	㛊	vhnd
U+36CB	㛋	vop
U+36CC	㛌	vihq
U+36CD	㛍	vkoo
U+36CE	㛎	vrhr,vrr
U+36CF	㛏	vije
U+36D0	㛐	vmlk
U+36D1	㛑	yev
U+36D2	㛒	vmrt
U+36D3	㛓	vkkb
U+36D4	㛔	vhej
U+36D5	㛕	vrau
U+36D6	㛖	vice
U+36D7	㛗	voog
U+36D8	㛘	vjbd
U+36D9	㛙	vytj,xvytj
U+36DA	㛚	vnib
U+36DB	㛛	vhxh
U+36DC	㛜	okv
U+36DD	㛝	vbuc
U+36DE	㛞	vmgt
U+36DF	㛟	vnbk
U+36E0	㛠	vlsa
U+36E1	㛡	vjmu
U+36E2	㛢	vhds
U+36E3	㛣	vrbo
U+36E4	㛤	vmbb,xxvmb
U+36E5	㛥	vea
U+36E6	㛦	vdd
U+36E7	㛧	vumr
U+36E8	㛨	vtgu,vtqu
U+36E9	㛩	vyib
U+36EA	㛪	vklu,vklv
U+36EB	㛫	vaph
U+36EC	㛬	vgcg
U+36ED	㛭	vta
U+36EE	㛮	vjfe
U+36EF	㛯	vnus
U+36F0	㛰	vrpa
U+36F1	㛱	vwmv
U+36F2	㛲	vmbc
U+36F3	㛳	yblbv,ybv
U+36F4	㛴	vvvw
U+36F5	㛵	vbgb
U+36F6	㛶	vukf,vumf
U+36F7	㛷	huv
U+36F8	㛸	vgrt
U+36F9	㛹	vomk
U+36FA	㛺	vyta
U+36FB	㛻	vkgg
U+36FC	㛼	vhjx,vmjx
U+36FD	㛽	vjfd
U+36FE	㛾	vihr
U+36FF	㛿	vtjb
U+3700	㜀	vdbu
U+3701	㜁	vdam,vdbm	[uv]
U+3702	㜂	giv
U+3703	㜃	voyr
U+3704	㜄	vhni
U+3705	㜅	vyvw
U+3706	㜆	vyfd
U+3707	㜇	vggp
U+3708	㜈	nsv
U+3709	㜉	vvvu
U+370A	㜊	vstv
U+370B	㜋	vcmt,vtct
U+370C	㜌	gvhne
U+370D	㜍	vilr
U+370E	㜎	vbvk
U+370F	㜏	vrbc
U+3710	㜐	vumt
U+3711	㜑	ebv,xebv
U+3712	㜒	vhxt
U+3713	㜓	vtor
U+3714	㜔	vytu
U+3715	㜕	vyjj,xvyjj
U+3716	㜖	vtwa
U+3717	㜗	viih
U+3718	㜘	vypm
U+3719	㜙	vixp
U+371A	㜚	vjoa
U+371B	㜛	vjjo
U+371C	㜜	vgsk,vqsk
U+371D	㜝	voiw
U+371E	㜞	jlv,xjlv
U+371F	㜟	vmjk,vnjk
U+3720	㜠	vuog,xvuog
U+3721	㜡	vhoo
U+3722	㜢	vlav,vllv
U+3723	㜣	vbkf
U+3724	㜤	vmwj
U+3725	㜥	vwlc
U+3726	㜦	vsmi
U+3727	㜧	vmto
U+3728	㜨	vseq
U+3729	㜩	vhbk
U+372A	㜪	ylv
U+372B	㜫	vhok
U+372C	㜬	vncr
U+372D	㜭	vfbw
