U+2A83C	𪠼	robo
U+2A83D	𪠽	rfsm
U+2A83E	𪠾	rhby
U+2A83F	𪠿	rh
U+2A840	𪡀	rhkl
U+2A841	𪡁	ryiu
U+2A842	𪡂	riq
U+2A843	𪡃	rnyk
U+2A844	𪡄	rswl
U+2A845	𪡅	mgrr
U+2A846	𪡆	rqon
U+2A847	𪡇	ronf
U+2A848	𪡈	roha
U+2A849	𪡉	rrnl
U+2A84A	𪡊	rbsh
U+2A84B	𪡋	romm
U+2A84C	𪡌	eor
U+2A84D	𪡍	yrnl
U+2A84E	𪡎	rsoii,rsoml
U+2A84F	𪡏	rykq
U+2A850	𪡐	krwr
U+2A851	𪡑	mrev
U+2A852	𪡒	rgtj
U+2A853	𪡓	rapp
U+2A854	𪡔	rwln
U+2A855	𪡕	rphh
U+2A856	𪡖	lkwk
U+2A857	𪡗	rhlo
U+2A858	𪡘	krnq
U+2A859	𪡙	riil
U+2A85A	𪡚	rfhm
U+2A85B	𪡛	rlsr
U+2A85C	𪡜	jrcru
U+2A85D	𪡝	rtcu
U+2A85E	𪡞	rlmo
U+2A85F	𪡟	roie
U+2A860	𪡠	rhae
U+2A861	𪡡	rpyr
U+2A862	𪡢	hxlll
U+2A863	𪡣	rjmw
U+2A864	𪡤	evr
U+2A865	𪡥	retc
U+2A866	𪡦	rkyn
U+2A867	𪡧	rcmw,rtcw
U+2A868	𪡨	rsfd
U+2A869	𪡩	rukf,rumf
U+2A86A	𪡪	mlr
U+2A86B	𪡫	rgrv
U+2A86C	𪡬	mahgr,mahqr
U+2A86D	𪡭	rmwu
U+2A86E	𪡮	rbci
U+2A86F	𪡯	rclis
U+2A870	𪡰	rrail,rrhpl,rrhsl
U+2A871	𪡱	rqdu
U+2A872	𪡲	hxmk
U+2A873	𪡳	yrir
U+2A874	𪡴	ryru
U+2A875	𪡵	rerb
U+2A876	𪡶	rbni,rbsi
U+2A877	𪡷	rnld
U+2A878	𪡸	rqyv
U+2A879	𪡹	ger
U+2A87A	𪡺	rdto
U+2A87B	𪡻	tajr
U+2A87C	𪡼	rrbuk
U+2A87D	𪡽	rlcq
U+2A87E	𪡾	rhhm
U+2A87F	𪡿	rbmm
U+2A880	𪢀	rhwk
U+2A881	𪢁	rybp
U+2A882	𪢂	rthu,rtqu
U+2A883	𪢃	ryue
U+2A884	𪢄	rsmt
U+2A885	𪢅	rqsg
U+2A886	𪢆	ryja
U+2A887	𪢇	rddo
U+2A888	𪢈	hrfdv
U+2A889	𪢉	rhbr
U+2A88A	𪢊	rhto
U+2A88B	𪢋	romo
U+2A88C	𪢌	rlsw
U+2A88D	𪢍	rvfr
U+2A88E	𪢎	rsrg
U+2A88F	𪢏	mrepd
U+2A890	𪢐	rdlo
U+2A891	𪢑	rhor
U+2A892	𪢒	rfvk
U+2A893	𪢓	irmow
U+2A894	𪢔	rixf
U+2A895	𪢕	rqko
U+2A896	𪢖	rhdp
U+2A897	𪢗	rjpi
U+2A898	𪢘	ryjl
U+2A899	𪢙	rsmb
U+2A89A	𪢚	rqae
U+2A89B	𪢛	rcbsd,rcnsd
U+2A89C	𪢜	rcib
U+2A89D	𪢝	rhop
U+2A89E	𪢞	vlhbr
U+2A89F	𪢟	rybq
U+2A8A0	𪢠	rtlw
U+2A8A1	𪢡	hrhkb
U+2A8A2	𪢢	grjbm
U+2A8A3	𪢣	grab
U+2A8A4	𪢤	rokb
U+2A8A5	𪢥	ryhs
U+2A8A6	𪢦	mrotq
U+2A8A7	𪢧	rsgp
U+2A8A8	𪢨	wyk
U+2A8A9	𪢩	wmfm
U+2A8AA	𪢪	wtq
U+2A8AB	𪢫	wjwj
U+2A8AC	𪢬	wapp
U+2A8AD	𪢭	wttc
U+2A8AE	𪢮	wycd
U+2A8AF	𪢯	wtbu
