U+2B94F	𫥏	imdok
U+2B950	𫥐	imami
U+2B951	𫥑	imdln
U+2B952	𫥒	imybk,ximyb
U+2B953	𫥓	imomn,imomv	[u]
U+2B954	𫥔	imytd
U+2B955	𫥕	imoit	[u],imolt	[u]
U+2B956	𫥖	imoiy,imoly	[u]
U+2B957	𫥗	impko,ximpk
U+2B958	𫥘	imoir,imolr	[u]
U+2B959	𫥙	imgti
U+2B95A	𫥚	imyed
U+2B95B	𫥛	imrrd
U+2B95C	𫥜	imoij,imolj	[u]
U+2B95D	𫥝	imydu
U+2B95E	𫥞	hnmlb
U+2B95F	𫥟	hnmv
U+2B960	𫥠	hnglc,xhngl
U+2B961	𫥡	pphn
U+2B962	𫥢	gphn
U+2B963	𫥣	cchhn	[u],hchhn	[u],tchhn,xcchh	[u]
U+2B964	𫥤	uumob
U+2B965	𫥥	yusoy
U+2B966	𫥦	nwuk
U+2B967	𫥧	uuwlt
U+2B968	𫥨	wlkuu
U+2B969	𫥩	yummr
U+2B96A	𫥪	yullc	[u],yulqc
U+2B96B	𫥫	sguu
U+2B96C	𫥬	uutaj,xuuta
U+2B96D	𫥭	ebuu
U+2B96E	𫥮	yubcc,yubic
U+2B96F	𫥯	sushu
U+2B970	𫥰	shk
U+2B971	𫥱	shnd
U+2B972	𫥲	kish
U+2B973	𫥳	msln,xmsln
U+2B974	𫥴	aush
U+2B975	𫥵	msln
U+2B976	𫥶	mjln,xmjln
U+2B977	𫥷	bsln
U+2B978	𫥸	shyr,xshyr
U+2B979	𫥹	lkln
U+2B97A	𫥺	tcln,xtcln
U+2B97B	𫥻	lnoi	[u],lnol
U+2B97C	𫥼	mcln,xmcln
U+2B97D	𫥽	hlln
U+2B97E	𫥾	fdln,xfdln
U+2B97F	𫥿	yksh
U+2B980	𫦀	moln
U+2B981	𫦁	foln
U+2B982	𫦂	jiln,xjiln
U+2B983	𫦃	ktln,xxktl
U+2B984	𫦄	jmln,xjmln
U+2B985	𫦅	llln
U+2B986	𫦆	oobmn
U+2B987	𫦇	chems
U+2B988	𫦈	yjshi	[u],yjsk	[u],yjso
U+2B989	𫦉	fvln
U+2B98A	𫦊	yaln
U+2B98B	𫦋	lish,xlish
U+2B98C	𫦌	vush,xvush
U+2B98D	𫦍	muksh
U+2B98E	𫦎	jfln,xxjfl
U+2B98F	𫦏	oqln
U+2B990	𫦐	juln	[u],jvln
U+2B991	𫦑	tfsh
U+2B992	𫦒	hhln
U+2B993	𫦓	xyksh,yksh
U+2B994	𫦔	vish,xvish
U+2B995	𫦕	tuln,xxtul
U+2B996	𫦖	toln
U+2B997	𫦗	nnnnn,xnnnn
U+2B998	𫦘	nesh	[u],nnsh
U+2B999	𫦙	hbln
U+2B99A	𫦚	twln
U+2B99B	𫦛	yrln
U+2B99C	𫦜	dwln,xdwln
U+2B99D	𫦝	hwln
U+2B99E	𫦞	ybypn
U+2B99F	𫦟	omln
U+2B9A0	𫦠	uuutn
U+2B9A1	𫦡	amln,xxaml
U+2B9A2	𫦢	mjjrn
U+2B9A3	𫦣	fuln,xfuln
U+2B9A4	𫦤	ksm,xksm
U+2B9A5	𫦥	krm
U+2B9A6	𫦦	kmks,xkmks
U+2B9A7	𫦧	kshio
U+2B9A8	𫦨	fdks
U+2B9A9	𫦩	mbks,xxmbk
U+2B9AA	𫦪	rbks,xrbks
U+2B9AB	𫦫	kwk,xkwk
U+2B9AC	𫦬	knbms
U+2B9AD	𫦭	ksiav,xksia
U+2B9AE	𫦮	tcks
U+2B9AF	𫦯	ddks
U+2B9B0	𫦰	tsks
U+2B9B1	𫦱	abks,xabks
U+2B9B2	𫦲	ruks
U+2B9B3	𫦳	vuks,xxvuk
U+2B9B4	𫦴	auks,xauks
U+2B9B5	𫦵	jmns
U+2B9B6	𫦶	wsjkp
U+2B9B7	𫦷	hoks,xhoks
U+2B9B8	𫦸	fsks,xfsks
U+2B9B9	𫦹	krksr
U+2B9BA	𫦺	igks
U+2B9BB	𫦻	wsppa
U+2B9BC	𫦼	sgks,xsgks
U+2B9BD	𫦽	tmksm
U+2B9BE	𫦾	hdks
U+2B9BF	𫦿	hshgs
U+2B9C0	𫧀	pg,xpg
U+2B9C1	𫧁	plll,xplll
U+2B9C2	𫧂	hrpi,hrpm	[u]
U+2B9C3	𫧃	phomi
U+2B9C4	𫧄	pbtk
U+2B9C5	𫧅	poyf
U+2B9C6	𫧆	piof
U+2B9C7	𫧇	pp
U+2B9C8	𫧈	tvp,xtvp
U+2B9C9	𫧉	npp
U+2B9CA	𫧊	buhfp,xbuhf
U+2B9CB	𫧋	su,xxxsu
U+2B9CC	𫧌	svk
U+2B9CD	𫧍	sa,xsa
U+2B9CE	𫧎	sylm
U+2B9CF	𫧏	soo,xsoo
U+2B9D0	𫧐	sbu
U+2B9D1	𫧑	smam,xsmam
U+2B9D2	𫧒	sbr
U+2B9D3	𫧓	sijb
U+2B9D4	𫧔	isvmg
U+2B9D5	𫧕	skrhu
U+2B9D6	𫧖	stlc,stmc	[u],xstmc	[u]
U+2B9D7	𫧗	sorr
U+2B9D8	𫧘	shwk
U+2B9D9	𫧙	sfmd
U+2B9DA	𫧚	sjro
U+2B9DB	𫧛	ssjk
U+2B9DC	𫧜	srgpd
U+2B9DD	𫧝	syjc,xsyjc
U+2B9DE	𫧞	vej
U+2B9DF	𫧟	fqsu,xxfqs
U+2B9E0	𫧠	vij,xvij
U+2B9E1	𫧡	jrqj
U+2B9E2	𫧢	hjhjj
U+2B9E3	𫧣	jbnl,xjbnl
U+2B9E4	𫧤	jjii
U+2B9E5	𫧥	jtlb
U+2B9E6	𫧦	yjnl
U+2B9E7	𫧧	xyjht,yjht
U+2B9E8	𫧨	jjihu
U+2B9E9	𫧩	jjabt,jjwot,xjjab,xjjwo
U+2B9EA	𫧪	httwv
U+2B9EB	𫧫	jfnqr
U+2B9EC	𫧬	ojyra
U+2B9ED	𫧭	jjrrd
U+2B9EE	𫧮	qey
U+2B9EF	𫧯	xyrob,yrob
U+2B9F0	𫧰	xyypn,xyypu,yypn,yypu
U+2B9F1	𫧱	yyjru
U+2B9F2	𫧲	yyjki
U+2B9F3	𫧳	yyirm
U+2B9F4	𫧴	xyree,yreee
U+2B9F5	𫧵	yysjl
U+2B9F6	𫧶	yyytu
U+2B9F7	𫧷	xydyk,ydykm,ydyth
U+2B9F8	𫧸	ycnot
U+2B9F9	𫧹	mlsl
U+2B9FA	𫧺	hgsl
U+2B9FB	𫧻	hhorl
U+2B9FC	𫧼	hlt,xhlt
U+2B9FD	𫧽	mmsl
U+2B9FE	𫧾	hlvmg
U+2B9FF	𫧿	hhslk
U+2BA00	𫨀	bwll,xbwll
U+2BA01	𫨁	xyksl,yksl,ynsl
U+2BA02	𫨂	mlb,xxmlb
U+2BA03	𫨃	mjd,xmjd
U+2BA04	𫨄	mit
U+2BA05	𫨅	mma,xmma
U+2BA06	𫨆	mkt,xmkt
U+2BA07	𫨇	mtq,xmtq
U+2BA08	𫨈	mfe,xmfe
U+2BA09	𫨉	malb
U+2BA0A	𫨊	mcor
